number,text,level
,MedCommons TIMC Requirements,1
,,1
1,Introduction,2
2,Use Cases,2
2.1,Actors,3
2.1.1,MedCommons Administrator,4
2.1.2,Uploader,4
2.1.3,TIMC Order System,4
2.1.4,DDL,4
2.1.5,Polling DDL,4
2.1.6,TIMC PACS,4
2.1.7,Image Analyst,4
2.2,Definitions,3
2.2.1,HealthURL - The group of CCRs that belong to a Patient and the transitive set of all the data they reference are known collectively as the Patient's HealthURL.,5
2.2.2,Group - A collection of users who share visibility of a shared set of Patients,5
2.2.3,Consent – information about whether an entity is allowed to access a Patient account in a particular way. ,5
2.2.4,External Share – a link to an identity of an entity outside of MedCommons,5
2.2.5,"Appliance – a single logical instance of a MedCommons system consisting of Accounts, Console and one or more Gateways. ",5
2.2.6,Series – a DICOM Series. ,5
2.2.7,Order – a set of information associated with a set of DICOM images about it's handling and processing,5
2.2.8,Claim - the granting of ownership of a Patient account to an entity claiming to be the Patient or an agent of the Patient,5
2.2.9,Voucher – a temporary authorization that allows a 3rd party to Claim an account using a Voucher ID and PIN,5
2.2.10,Temporary Account – a MedCommons Account associated with a Voucher,5
2.2.11,"Tracking Number – A 12 digit number identifying a specific, saved, CCR",5
2.3,Use Cases ,3
2.3.1,Upload Images,4
2.3.2,Polling DDL Forwards Image Data to PACS,4
2.3.3,,4
3,Requirements,2
3.1,General,3
3.1.1,"Unless otherwise specified, pages will load within 15 seconds on a broadband internet connection.",5
3.1.2,Supported platforms are PC or Mac that with Java 5 (1.5) or better and IE 7+ or FF 3+. ,5
3.1.3,"All DICOM related functions work for CT, MR and PET images, both compressed and uncompressed",5
3.2,Login and Authorization,3
3.2.1,Log In,4
3.2.1.1,All pages that access PHI or control settings that affect the accessibility of PHI in any way are Restricted Pages. ,5
3.2.1.2,A login session can be initiated by entering an email address and the correct password on the login page.,5
3.2.1.3,Attempting to access a Restricted Page without a valid login session displays the login page.,5
3.2.1.4,A logged in user who is inactive for more than 10 minutes is automatically logged out and their login session is no longer valid.,5
3.2.1.5,Entering an incorrect password on the login page increments a login counter on the user record that was accessed if the last login attempt was less than 5 minutes ago. ,5
3.2.1.6,A login attempt that increases the login counter to more than 3 is rejected and a message is displayed to the user asking them to wait for 5 minutes to try again. ,5
3.2.1.7,During a Login session a Logout link is displayed at the top of all pages except the Viewer. ,5
3.2.1.8,"During a Login session, a “Login Stamp” consisting of the user's photo, their First and Last name, MedCommons Account Id and email is displayed in the top right hand corner on all pages except the Viewer",5
3.3,Registration,3
3.3.1,A user cannot login until they are registered,5
3.3.2,A user must supply a valid email address and password in order to register,5
3.3.3,Password – the user must supply a password of 8 or more characters,5
3.3.4,Password Verification – the user must enter their chosen password twice. ,5
3.3.5,Users are informed during registration that sharing passwords is not permitted,5
3.3.6,Email Confirmation - to complete registration a user must confirm their email address by responding to a cryptographically secure link sent to their email address,5
3.3.7,Terms of Use – the user must check a box to indicate they understand and agree to the Terms of Use,5
